"Protein.ID","H26_vs_DksgA_PEP","H26_vs_DksgA_KsgA_PEP","H26_vs_DksgA_ksgA_E84A_PEP"
"1887","HVO_0835 [D4GUH4] (acaB1) acetyl-CoA C-acetyltransferase",0.826051952,0.000244843,0.000241787
"1888","HVO_0834 [D4GUH3] DUF35 family protein",0.707087227,0.320823222,0.126719188
"1889","HVO_0832 [D4GUG9] alpha/beta hydrolase fold protein",0.595597335,0.414445497,0.441734716
"1890","HVO_0831 [D4GUG7] (ygfD) YgfD family GTPase",0.132433119,0.000244843,0.000241787
"1891","HVO_0830 [D4GUG5] (mmcB) methylmalonyl-CoA mutase subunit B (cobalamin-binding subunit)",0.585545476,0.256625103,0.077416534
"1892","HVO_0829 [D4GUG3] peptidase S9 family protein",0.491285544,0.00687431,0.009222174
"1893","HVO_0828 [D4GUG1] conserved hypothetical protein",0.716387962,0.393863465,0.323260776
"1894","HVO_0827 [D4GUF9] MTH865 family protein",0.000826002,0.381134281,0.395335348
"1895","HVO_0826 [D4GUF7] peptidase M42 family protein",0.840468653,0.000244843,0.000241787
"1896","HVO_0825 [D4GUF5] (hcpA) halocyanin",0.644453198,0.386849713,0.388320571
"1897","HVO_0824 [D4GUF3] probable glycosyltransferase, type 1",0.150445665,0.000244843,0.000241787
"1898","HVO_0822 [D4GUF0] (gldA) glycerol-1-phosphate dehydrogenase (NAD(P))",0.829228179,0.553987042,0.554415566
"1899","HVO_0821 [D4GUE8] LysE family transport protein",0.661994454,0.356292732,0.018508919
"1900","HVO_0819 [D4GUE2] (sirR) SirR/DtxR family transcription regulator SirR",0.002475567,0.000244843,0.000241787
"1901","HVO_0818 [D4GUE0] (thrC2) threonine synthase",0.02282435,0.499523521,0.547705041
"1902","HVO_0817 [D4GUD8] amine oxidase domain protein",0.938223873,0.000244843,0.000241787
"1903","HVO_0815 [D4GUD4] arNOG05395 family transcription regulator",0.772986086,0.27515867,0.572926366
"1904","HVO_0812 [D4GUD0] (ppsA) phosphoenolpyruvate synthase",0.546781897,0.29092714,0.307806552
"1905","HVO_0811 [D4GUC7] (panD) aspartate 1-decarboxylase",0.66259911,0.464418094,0.343193508
"1906","HVO_0810 [D4GUC4] conserved hypothetical protein",1,1,1
"1907","HVO_0809 [D4GUC3] (metS) methionine--tRNA ligase",0.772506011,0.054438339,0.453971803
"1908","HVO_0808 [D4GUC1] conserved hypothetical protein",0.862661816,0.448799315,0.175364414
"1909","HVO_0807 [D4GUB8] conserved hypothetical protein",0.694779963,0.14673303,0.049270547
"1910","HVO_0806 [D4GUB6] (pykA) pyruvate kinase",0.000825727,0.000244843,0.00411777
"1911","HVO_0805 [D4GUB4] conserved hypothetical protein",0.709291817,0.418983569,0.413015133
"1912","HVO_0803 [D4GUB0] homolog to restriction system mrr",1,1,1
"1913","HVO_0802 [D4GUA7] NfeD domain protein",0.66259911,0.504992118,0.542427119
"1914","HVO_0801 [D4GUA4] stomatin family protein",0.000825727,0.738635861,0.239777756
"1915","HVO_0799 [D4GUA1] conserved hypothetical protein",1,1,1
"1916","HVO_0798 [D4GUA0] (aglD) dolichyl-phosphate mannosyltransferase AglD",0.451154943,0.383354488,0.403667504
"1917","HVO_0797 [D4GU99] probable inosine/xanthosine triphosphatase",0.854801466,0.000244925,0.027613969
"1918","HVO_0796 [D4GU96] ABC-type transport system periplasmic substrate-binding protein (probable substrate iron/cobalamin)",0.528869963,0.182744288,0.179495414
"1919","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB<|>HVO_1676 [Q9YGA5] (tfb2) transcription initiation factor TFB",0.728954701,0.415093002,0.379123151
"1920","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB<|>HVO_1052 [D4GVM8] (tfb1) transcription initiation factor TFB<|>HVO_B0285 [D4GPT2] (tfb3) transcription initiation factor TFB",0.660479652,0.439566018,0.429920811
"1921","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB<|>HVO_1052 [D4GVM8] (tfb1) transcription initiation factor TFB<|>HVO_1676 [Q9YGA5] (tfb2) transcription initiation factor TFB<|>HVO_B0285 [D4GPT2] (tfb3) transcription initiation factor TFB",0.740682086,0.418334481,0.396934145
"1922","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB",0.404416027,0.479177951,0.345356097
"1923","HVO_0794 [D4GU94] (zim) CTAG modification methylase",0.712033488,0.262777837,0.289532237
"1924","HVO_0793 [D4GU93] small CPxCG-related zinc finger protein",0.635930614,0.346031498,0.229743003
"1925","HVO_0792 [D4GU24] (aroB) 3-dehydroquinate synthase, type II",0.409627389,0.348512879,0.226318576
"1926","HVO_0790 [D4GU21] (fba2) 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase",0.854205811,0.000244843,0.000241787
"1927","HVO_0789 [P18284] (trpA) tryptophan synthase alpha subunit",0.000825727,0.000244843,0.000241787
"1928","HVO_0788 [P18285] (trpB) tryptophan synthase beta subunit",0.694213109,0.000244843,0.000241787
"1929","HVO_0787 [P18304] (trpC) indole-3-glycerol-phosphate synthase",0.426388055,0.000244843,0.000241787
"1930","HVO_0786 [D4GU11] (ogt1) probable methylated-DNA--protein-cysteine methyltransferase",0.704595012,0.023213861,0.305998987
"1931","HVO_0783 [D4GTT9] (lon) ATP-dependent protease Lon",0.219104203,0.000244843,0.000241787
"1932","HVO_0782 [D4GTT7] (nadM) nicotinamide-nucleotide adenylyltransferase",0.738876938,0.396421655,0.447675793
"1933","HVO_0781 [D4GTT6] S-adenosylmethionine hydroxide adenosyltransferase family protein",0.746818714,0.100501032,0.137918959
"1934","HVO_0778 [Q9HHA2] (ths3) thermosome subunit 3",0.337833825,0.000244843,0.000241787
"1935","HVO_0775 [D4GTT0] amidohydrolase domain protein",0.745292118,0.477493913,0.518717878
"1936","HVO_0774 [D4GTS9] probable glycosyltransferase, type 2",0.001651191,0.001225057,0.019490255
"1937","HVO_0773 [D4GTS8] probable S-adenosylmethionine-dependent methyltransferase",0.362145028,0.000244843,0.027860916
"1938","HVO_0772 [D4GTS7] NP_1176A family transcription regulator",0.672176464,0.106826952,0.015324566
"1939","HVO_0771 [D4GTS5] beta-lactamase domain protein",0.729745668,0.369450655,0.382922203
"1940","HVO_0770 [D4GTS1] conserved hypothetical protein",0.617467829,0.000244843,0.000241867
"1941","HVO_0769 [D4GTR9] TRAM domain protein",0.144258319,0.000244843,0.000241787
"1942","HVO_0768 [D4GTR8] radical SAM domain protein",0.585195524,0.000244843,0.000241787
"1943","HVO_0767 [D4GTR5] small CPxCG-related zinc finger protein",0.676309868,0.240628511,0.182532517
"1944","HVO_0766 [D4GTR3] (hsp20D) Hsp20-type molecular chaperone",0.904566176,0.000244843,0.000241787
"1945","HVO_0765 [D4GTR2] FAD-dependent oxidoreductase",1,1,1
"1946","HVO_0764 [D4GTR0] conserved hypothetical protein",0.693077434,0.08142959,0.26913217
"1947","HVO_0763 [D4GTQ8] DoxX domain protein<|>HVO_A0548 [D4GRL0] DoxX domain protein",0.682156029,0.440552765,0.379439374
"1948","HVO_0763 [D4GTQ8] DoxX domain protein",0.67247284,0.332761457,0.197537221
"1949","HVO_0762 [D4GTQ7] NUDIX family hydrolase",0.740167039,0.490675903,0.497406112
"1950","HVO_0761 [D4GTQ5] conserved hypothetical protein",0.462957435,0.068512554,0.096509707
"1951","HVO_0760 [D4GTQ4] probable glycosyltransferase, type 2",0.810247845,0.502597357,0.545943792
"1952","HVO_0758 [D4GTQ1] small CPxCG-related zinc finger protein",0.522250435,0.000244843,0.000241787
"1953","HVO_0757 [D4GTP9] probable oxidoreductase (aldo-keto reductase family protein)",0.775140127,0.0447956,0.119302649
"1954","HVO_0756 [D4GTP7] DHH/RecJ family phosphoesterase",0.68965459,1,1
"1955","HVO_0755 [D4GTP6] homolog to NAD-dependent epimerase/dehydratase",0.842108579,0.073665297,0.001451867
"1956","HVO_0754 [D4GTP5] conserved hypothetical protein",0.147014435,0.000244843,0.000241787
"1957","HVO_0745 [D4GTC1] (cetZ2) FtsZ family protein CetZ, type III",0.691939129,0.386849713,0.413661912
"1958","HVO_0743 [D4GTB7] probable phosphodiesterase",0.850814042,0.724935996,0.710312117
"1959","HVO_0742 [D4GTB6] conserved hypothetical protein",0.806705086,0.123833216,0.040266755
"1960","HVO_0741 [D4GTB4] (polX) DNA-directed DNA polymerase X",0.597653938,0.000244843,0.000241787
"1961","HVO_0740 [D4GTB3] DUF82 family protein",0.64695165,0.342007668,0.361207135
"1962","HVO_0739 [D4GTB2] conserved hypothetical protein",0.252658636,0.000244843,0.000241787
"1963","HVO_0738 [D4GTB1] conserved hypothetical protein",0.042684235,0.20461167,0.500824042
"1964","HVO_0736 [D4GTA8] DUF302 family protein",0.038750522,0.000244843,0.000241787
"1965","HVO_0734 [D4GTA5] (nreA) DNA repair protein NreA",0.634656017,0.418010036,0.41949526
"1966","HVO_0733 [D4GTA4] (tfb4) transcription initiation factor TFB<|>HVO_1478 [D4GYB5] (tfb5) transcription initiation factor TFB",0.684186065,0.209420704,0.284776378
"1967","HVO_0733 [D4GTA4] (tfb4) transcription initiation factor TFB",0.766948231,0.208287768,0.332427336
"1968","HVO_0732 [D4GTA2] (rnhA2) ribonuclease H, type 1",0.712579957,0.008351818,0.004845768
"1969","HVO_0731 [D4GTA0] conserved hypothetical protein",0.064368351,0.0098309,0.285073167
"1970","HVO_0730 [D4GT98] (rosR) PadR family transcription regulator RosR",0.000825727,0.000244843,0.032809463
"1971","HVO_0729 [D4GT97] (ipp) inorganic pyrophosphatase",0.000825727,0.000244843,0.000241787
"1972","HVO_0728 [D4GT95] conserved hypothetical protein",0.651603776,1,1
"1973","HVO_0727 [D4GT94] rhomboid family protease",0.448500911,0.492033957,0.501850873
"1974","HVO_0726 [D4GT92] (endV) endonuclease 5",0.743504738,0.319908701,0.37407256
"1975","HVO_0725 [D4GT91] probable oxidoreductase (short-chain dehydrogenase family)",0.000826002,0.000244843,0.000241787
"1976","HVO_0724 [D4GT90] (arsA1) ArsA family ATPase",0.008223547,0.000244843,0.041763203
"1977","HVO_0723 [D4GT88] nicotinamide mononucleotide deamidase",0.658655906,1,0.333040454
"1978","HVO_0722 [D4GT87] DUF457 family protein",0.653452871,0.42125746,0.390230478
"1979","HVO_0721 [D4GT85] PHP domain protein",0.729745668,0.006136145,0.012636058
"1980","HVO_0720 [D4GT84] small CPxCG-related zinc finger protein",0.714759652,0.522892109,0.521488869
"1981","HVO_0719 [D4GT82] (spt5) transcription elongation factor Spt5",0.704317308,0.224800153,0.417872654
"1982","HVO_0718 [D4GT81] (secE) protein translocase subunit SecE",0.678070925,0.383037124,0.400457427
"1983","HVO_0717 [Q48327] (ftsZ1) cell division protein FtsZ, type I",0.07800668,0.149723053,0.597458613
"1984","HVO_0716 [D4GT74] (dtdA) D-aminoacyl-tRNA deacylase",0.770097957,0.007366638,0.071536258
"1985","HVO_0712 [D4GT66] (aroE) shikimate dehydrogenase (nonfunctional)",0.678656566,0.245554824,0.21383188
"1986","HVO_0711 [D4GT64] conserved hypothetical protein",0.787387223,0.07185971,0.07562419
"1987","HVO_0710 [D4GT63] (pabB) aminodeoxychorismate synthase component 1",0.808922699,0.047326772,0.172068309
"1988","HVO_0709 [D4GT61] (pabA) aminodeoxychorismate synthase component 2",0.714215654,0.520471104,0.507682269
"1989","HVO_0708 [D4GT60] (pabC) aminodeoxychorismate lyase",0.631776722,0.089236406,0.473687089
"1990","HVO_0707 [D4GT58] probable iron-sulfur protein (2Fe-2S)",0.618455881,0.438908523,0.441734716
"1991","HVO_0704 [D4GT55] probable glycosyltransferase, type 2",0.804252574,0.000734904,0.033553327
"1992","HVO_0703 [D4GT52] conserved hypothetical protein",0.548654558,0.047833553,0.329365529
"1993","HVO_0702 [D4GT53] DUF2298 family protein",0.429138462,0.349133842,0.288639337
"1994","HVO_0701 [D4GT50] (rpl42e) 50S ribosomal protein L42e",0.732110662,0.382719824,0.205661253
"1995","HVO_0700 [D4GT48] (rps27e) 30S ribosomal protein S27e",0.798173693,0.145104688,0.163861673
"1996","HVO_0699 [D4GT46] (tif2a) translation initiation factor aIF-2 alpha subunit",0.874552338,0.000244843,0.000241787
"1997","HVO_0697 [D4GT44] PAC2 family protein",0.660782974,0.364738699,0.453639795
"1998","HVO_0696 [D4GT42] (phzF1) PhzF family protein",0.77466234,0.228239399,0.236329382
"1999","HVO_0694 [D4GT40] (gptA2) probable phosphoribosyltransferase",0.000825727,0.347271695,0.566851225
"2000","HVO_0692 [D4GT36] probable 6-oxopurine nucleoside phosphorylase",0.003299131,0.465420186,0.1114003
"2001","HVO_0691 [D4GT34] conserved hypothetical protein",0.698448619,0.002451199,0.310522058
"2002","HVO_0690 [D4GT32] (scpA) chromosome segregation and condensation protein ScpA",0.677484596,0.354110463,0.437129643
"2003","HVO_0689 [D4GT30] (smc) chromosome segregation protein Smc",0.0065853,0.617240286,0.633851215
"2004","HVO_0688 [D4GT28] conserved hypothetical protein",0.166703484,0.463416622,0.150830103
"2005","HVO_0687 [D4GT26] M20 family amidohydrolase",0.76475479,0.383671916,0.495699932
"2006","HVO_0684 [D4GT23] (gatB) aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B",0.953591252,0.256332739,0.091581883
"2007","HVO_0682 [D4GT18] (mrr) probable Mrr family endonuclease",0.674247429,0.357853364,0.000241787
"2008","HVO_0681 [D4GT20] (topA) DNA topoisomerase 1",0.380670985,0.767158974,0.365587854
"2009","HVO_0680 [D4GT16] (pcrB1) (S)-3-O-geranylgeranylglyceryl phosphate synthase 1",0.756869425,0.110794833,0.04701394
"2010","HVO_0677 [D4GT09] (aspS) aspartate--tRNA(Asp/Asn) ligase",0.393379745,0.000244843,0.003147729
"2011","HVO_0676 [D4GT08] DUF2078 family protein",0.65621403,0.243524391,0.268251646
"2012","HVO_0675 [D4GT07] pantoate kinase",0.796356229,0.513229406,0.523223205
"2013","HVO_0674 [D4GT06] 4-phosphopantoate--beta-alanine ligase",0.159295208,0.001960612,0.046512985
"2014","HVO_0672 [D4GT02] conserved hypothetical protein",0.698729687,0.370709571,0.379439374
"2015","HVO_0670 [D4GT00] YqjG-type gamma-glutamylcysteinyl-hydroquinone reductase",0.75036137,0.0162585,0.007761765
"2016","HVO_0669 [D4GSZ9] (oadhA3) 2-oxoacid dehydrogenase E1 component alpha subunit",0.493757978,0.017497986,0.203415503
"2017","HVO_0668 [D4GSZ8] (oadhB3) 2-oxoacid dehydrogenase E1 component beta subunit",0.405841557,0.000244843,0.005817054
"2018","HVO_0665 [D4GSS5] (thi4) adenosine diphosphate thiazole synthase, cysteine-dependent",0.690798184,0.399304568,0.329977386
"2019","HVO_0662 [D4GSS2] (thiR) transcription regulator ThiR",0.019601863,0.333991109,0.296994272
"2020","HVO_0661 [D4GSS1] (dcd) dCTP deaminase",0.884813116,0.000244843,0.001694
"2021","HVO_0659 [D4GSR9] (pth) peptidyl-tRNA hydrolase",0.703483242,0.005398372,0.001209779
"2022","HVO_0658 [D4GSR8] (truD) tRNA pseudouridine(13) synthase TruD",0.850613655,0.000244843,0.000241787
"2023","HVO_0656 [D4GSR6] DUF2103 family protein",0.753125991,0.193637635,0.070006451
"2024","HVO_0655 [D4GSR5] GalE family epimerase/dehydratase",0.599020662,0.413151276,0.420794584
"2025","HVO_0654 [D4GSR4] (rpl43e) 50S ribosomal protein L43e",0.83175212,0.00687431,0.000241787
"2026","HVO_0653 [D4GSR3] (rpoP) DNA-directed RNA polymerase subunit P",0.485892968,0.005644252,0.024161499
"2027","HVO_0652 [D4GSR2] (pcc1) KEOPS complex subunit Pcc1",0.696476604,0.396421655,0.116927188
"2028","HVO_0651 [D4GSR1] (pfdB) prefoldin beta subunit",0.000825727,0.000244843,0.000241787
"2029","HVO_0650 [D4GSR0] DUF3194 family protein",0.779180959,0.08168913,0.026379919
"2030","HVO_0648 [D4GSQ8] DUF2070 family protein",0.560494058,0.377967976,0.211009134
"2031","HVO_0647 [D4GSQ7] (guaAa1) GMP synthase (glutamine-hydrolyzing) subunit A",0.164017954,0.313218716,0.393419009
"2032","HVO_0646 [D4GSQ6] conserved hypothetical protein",0.707639316,0.369136084,0.071026131
"2033","HVO_0644 [D4GSQ2] (leuA1) 2-isopropylmalate synthase / (R)-citramalate synthase",0.698448619,0.398663467,0.448337325
"2034","HVO_0641 [D4GSP8] (bluB) 5,6-dimethylbenzimidazole synthase BluB",0.703483242,0.405086176,0.310220088
"2035","HVO_0639 [D4GSP6] (moxR1) AAA-type ATPase (MoxR subfamily)",0.207141996,0.003924003,0.282996905
"2036","HVO_0637 [D4GSP3] DUF11/DUF58 family protein",0.675721467,0.40701807,0.368724769
"2037","HVO_0636 [D4GSP1] conserved hypothetical protein",0.636884515,0.002205884,0.372182938
"2038","HVO_0635 [D4GSP0] DUF4129 domain protein",0.686495975,0.104979013,0.061876508
"2039","HVO_0634 [D4GSN9] (orc2) Orc1-type DNA replication protein",0.839028418,0.0098309,0.006545986
"2040","HVO_0633 [D4GSN7] (cirC) KaiC-type circadian clock protein CirC",1,1,1
"2041","HVO_0632 [D4GSN6] sensor box histidine kinase",0.738359901,0.353176137,0.367783008
"2042","HVO_0630 [D4GSM7] (dppC2) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",1,1,1
"2043","HVO_0629 [D4GSM5] (dppB2) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.001651191,1,1
"2044","HVO_0628 [D4GSM4] (dppA2) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.801786184,0.000244843,0.000241787
"2045","HVO_0627 [D4GSM3] (dppDF2) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.000826002,0.000244843,0.000241787
"2046","HVO_0626 [D4GSM2] conserved hypothetical protein",0.743504738,0.288536535,0.011659766
"2047","HVO_0625 [D4GSM1] DMT superfamily transport protein",1,1,1
"2048","HVO_0620 [D4GSL6] (pilB1) type IV pilus biogenesis complex ATPase subunit",1,1,1
"2049","HVO_0612 [D4GSK8] UspA domain protein",0.726838977,0.374492383,0.341959147
"2050","HVO_0609 [D4GSK5] beta-lactamase domain protein",0.640682689,0.015763014,0.051028304
"2051","HVO_0605 [D4GSK1] IclR family transcription regulator",0.626942351,0.350998215,0.410753562
"2052","HVO_0602 [D4GSJ7] (aroD1) 3-dehydroquinate dehydratase",0.733941945,0.000244843,0.022192664
"2053","HVO_0601 [D4GSJ6] (hom2) homoserine dehydrogenase",0.744782138,0.462749319,0.515606308
"2054","HVO_0600 [D4GSJ5] ACT domain protein",0.499079676,0.051894375,0.088478696
"2055","HVO_0598 [D4GSJ3] conserved hypothetical protein",0.647885452,0.342316824,0.403024947
"2056","HVO_0597 [D4GSJ2] OsmC domain protein",0.374221694,0.000244843,0.001936178
"2057","HVO_0596 [D4GSJ1] conserved hypothetical protein",0.689368277,0.337069507,0.217793117
"2058","HVO_0595 [D4GSJ0] (minD2) MinD/ParA domain protein",0.736286036,0.000244843,0.000241867
"2059","HVO_0593 [D4GSI8] (cobD2) L-threonine-O-3-phosphate decarboxylase",1,1,1
"2060","HVO_0592 [D4GSI7] (cbiZ) adenosylcobinamide amidohydrolase",0.692508611,0.400266707,0.370924503
"2061","HVO_0591 [D4GSI6] (cobD1) L-threonine-O-3-phosphate decarboxylase",0.83426106,0.767957905,0.406884359
"2062","HVO_0590 [D4GSI5] (cobT) probable nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase",0.823707534,0.017002059,0.001451867
"2063","HVO_0589 [D4GSI4] (cobY) adenosylcobinamide-phosphate guanylyltransferase",0.69591171,0.35037651,0.350310938
"2064","HVO_0588 [D4GSI3] (cobS) adenosylcobinamide-GDP ribazoletransferase",0.174039742,0.424511508,0.366214715
"2065","HVO_0586 [D4GSI1] HAD superfamily hydrolase",0.803805175,0.057497158,0.027367068
"2066","HVO_0585 [D4GSI0] probable oxidoreductase (aldo-keto reductase family protein)",0.483805805,0.000244843,0.000241787
"2067","HVO_0583 [D4GSH9] CopG/DZR domain protein",0.72948216,0.441869371,0.413338488
"2068","HVO_0582 [D4GSH8] CopG domain protein",0.72338069,0.271610984,0.166591898
"2069","HVO_0581 [D4GSH7] (ftsZ2) cell division protein FtsZ, type II",0.000825727,0.000244843,0.000241787
"2070","HVO_0580 [D4GSH6] (ncsA) putative tRNA 2-thiolation protein NcsA",0.682446543,0.000244843,0.000241787
"2071","HVO_0579 [D4GSH5] conserved hypothetical protein",0.676309868,0.000244843,0.000241867
"2072","HVO_0577 [D4GSH3] DUF2082 family protein",1,1,1
"2073","HVO_0576 [D4GSH2] HxlR family transcription regulator",0.645391538,0.000979959,0.04701394
"2074","HVO_0575 [D4GSH1] homolog to NAD-dependent epimerase/dehydratase",0.657741574,0.222511703,0.456297856
"2075","HVO_0574 [D4GSG9] probable S-adenosylmethionine-dependent methyltransferase",0.79292812,0.353798959,0.481440868
"2076","HVO_0573 [D4GSG8] (apn1) endonuclease 4",0.292066536,0.614678591,0.59636842
"2077","HVO_0572 [D4GSG7] (lpl) lipoate--protein ligase domain protein",0.662296872,0.497818328,0.41949526
"2078","HVO_0571 [D4GSG6] conserved hypothetical protein",0.734202977,0.315952023,0.432210868
"2079","HVO_0570 [D4GSG5] histidine kinase",0.000825727,0.000244843,0.000241787
"2080","HVO_0569 [D4GSG4] (rio2) RIO-type serine/threonine protein kinase Rio2",1,0.408952317,1
"2081","HVO_0568 [D4GSG3] TrmB family transcription regulator",0.360619672,0.080391901,0.10877622
"2082","HVO_0567 [D4GSG2] (amyA1) glycoside hydrolase domain protein",0.833008457,0.004415285,0.000241787
"2083","HVO_0566 [D4GSG1] glycoside transferase domain protein",0.820489679,0.018242208,0.090805426
"2084","HVO_0565 [D4GSG0] (malK) ABC-type transport system ATP-binding protein (probable substrate maltose)",0.380177156,0.001470199,0.001209779
"2085","HVO_0564 [D4GSF9] (malE) ABC-type transport system periplasmic substrate-binding protein (probable substrate maltose)",0.649127889,0.000244843,0.000241787
"2086","HVO_0562 [D4GSF7] (malG) ABC-type transport system permease protein (probable substrate maltose)",0.683027061,1,1
"2087","HVO_0561 [D4GSF6] (rpl15e) 50S ribosomal protein L15e",0.046599091,0.000244925,0.000241867
"2088","HVO_0559 [D4GSF4] (glpE) thiosulfate sulfurtransferase GlpE",0.653760404,0.36693585,0.354037863
"2089","HVO_0558 [D4GSF3] (ubaA) SAMP-activating enzyme E1",0.698448619,0.523930774,0.602555898
"2090","HVO_0555 [D4GSF2] (htr15a) transducer protein Htr15",1,0.001470199,1
"2091","HVO_0554 [D4GSF1] (basT) transducer protein BasT",0.666511865,0.381451262,0.34442889
"2092","HVO_0553 [D4GSF0] (basB) chemotactic signal transduction system periplasmic substrate-binding protein BasB",1,0.320518321,0.376595744
"2093","HVO_0552 [D4GSE9] (mutS1b) DNA mismatch repair protein MutS",0.945988424,0.000244843,0.000241787
"2094","HVO_0551 [D4GSE8] (mutLb) DNA mismatch repair protein MutL",0.326142289,0.000244843,0.038025207
"2095","HVO_0549 [D4GSE6] (kdgK1) 2-keto-3-deoxygluconate kinase / 2-keto-3-deoxygalactonate kinase<|>HVO_A0328 [D4GR05] (kdgK2) 2-keto-3-deoxygalactonate kinase",0.753125991,0.44946087,0.343502258
"2096","HVO_0549 [D4GSE6] (kdgK1) 2-keto-3-deoxygluconate kinase / 2-keto-3-deoxygalactonate kinase",0.795900686,0.116102403,0.157602246
"2097","HVO_0547 [D4GSE4] conserved hypothetical protein",0.50273595,0.568865962,0.404631848
"2098","HVO_0545 [D4GS77] conserved hypothetical protein",0.762550739,0.427445831,0.060357564
"2099","HVO_0544 [D4GS76] major facilitator superfamily transport protein",0.080257325,0.186924545,0.029590825
"2100","HVO_0543 [D4GS75] (trxA8) thioredoxin",0.823707534,0.03521849,0.01044041
"2101","HVO_0542 [D4GS74] conserved hypothetical protein",0.607484816,0.376703235,0.371868231
"2102","HVO_0541 [D4GS73] (citB2) aconitate hydratase",0.000825727,0.000244843,0.000241787
"2103","HVO_0536 [D4GS68] (dpsA1) ferritin DpsA",0.216602063,0.000244843,0.000241787
"2104","HVO_0534 [D4GS66] (tsgD1) ABC-type transport system ATP-binding protein (probable substrate sugar)<|>HVO_B0037 [D4GP38] (tsgE7) ABC-type transport system ATP-binding protein (probable substrate sugar)<|>HVO_B0038 [D4GP39] (tsgD7) ABC-type transport system ATP-binding protein (probable substrate sugar)",1,1,1
"2105","HVO_0534 [D4GS66] (tsgD1) ABC-type transport system ATP-binding protein (probable substrate sugar)",0.30379936,0.001715384,0.000241787
"2106","HVO_0532 [D4GS65] (tsgC1) ABC-type transport system permease protein (probable substrate sugar)",0.684475394,1,1
"2107","HVO_0531 [D4GS64] (tsgB1) ABC-type transport system permease protein (probable substrate sugar)",0.706810945,1,1
"2108","HVO_0530 [D4GS63] (tsgA1) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.258002764,0.000244843,0.000241787
"2109","HVO_0522 [D4GS57] (hda1) HdaI-type histone deacetylase",0.779180959,0.524970094,0.207066646
"2110","HVO_0521 [D4GS58] (cca) tRNA adenylyltransferase, CCA-adding",0.243057834,0.289133836,0.410430754
"2111","HVO_0520 [D4GS56] (hstA) archaeal histone",0.659568597,0.471110459,0.561509834
"2112","HVO_0519 [D4GS55] (rpa2) replication protein A",0.014744508,0.000244843,0.000241787
"2113","HVO_0518 [D4GS54] conserved hypothetical protein",0.699010594,0.373861281,0.39405752
"2114","HVO_0514 [D4GS51] DUF309 family protein",0.787851619,0.590714633,0.579024544
"2115","HVO_0511 [D4GS48] (azf) glucose-6-phosphate 1-dehydrogenase (NAD)",0.597995944,0.001715384,0.103543028
"2116","HVO_0510 [D4GS47] (mptD) dihydroneopterin aldolase, archaeal-type",0.736805362,0.449791749,0.445362657
"2117","HVO_0508 [D4GS45] conserved hypothetical protein",0.011490414,0.000244843,0.000241787
"2118","HVO_0507 [D4GS44] (cre1) creatininase domain protein",0.633698018,0.364111507,0.274426518
"2119","HVO_0506 [D4GS43] ABC-type transport system ATP-binding/permease protein",0.000825727,0.436609413,0.446023199
"2120","HVO_0505 [D4GS42] conserved hypothetical protein",0.64099795,1,0.36151962
"2121","HVO_0504 [D4GS41] DUF192 family protein",0.688508339,0.344173054,0.393419009
"2122","HVO_0500 [D4GS38] conserved hypothetical protein",0.647885452,0.363484566,0.214962542
"2123","HVO_0494 [D4GS34] conserved hypothetical protein",0.732896369,0.000244843,0.000241787
"2124","HVO_0493 [D4GS33] HTH domain protein",0.709016792,0.002451199,0.000241787
"2125","HVO_0492 [D4GS32] (boa1) HTH-10 family transcription regulator",0.643199416,1,1
"2126","HVO_0491 [D4GS31] FMN-binding domain protein",0.781305583,0.000244843,0.000241787
"2127","HVO_0489 [D4GS29] small CPxCG-related zinc finger protein",0.7133985,0.400587549,0.383556307
"2128","HVO_0488 [D4GS28] HTH domain protein",0.782951121,0.000244843,0.000241787
"2129","HVO_0486 [D4GS26] (nucS) endonuclease NucS",0.740424633,0.320518321,0.222902303
"2130","HVO_0484 [D4GS24] (rpl16) 50S ribosomal protein L16",0.012305132,0.000244843,0.000241787
"2131","HVO_0482 [D4GS22] (hsp20C) Hsp20-type molecular chaperone",0.787619482,0.580650332,0.511122613
"2132","HVO_0481 [D4GS21] (gap2) glyceraldehyde-3-phosphate dehydrogenase (NAD) (phosphorylating)",0.952206708,0.000244843,0.031570608
"2133","HVO_0480 [D4GS20] (pgk) phosphoglycerate kinase",0.002475567,0.001960612,0.000725734
"2134","HVO_0479 [D4GS19] MJ0936 family phosphodiesterase",0.681574492,0.373230433,0.387684469
"2135","HVO_0478 [D4GS18] (gap1) glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) (phosphorylating)",0.714215654,0.000244843,0.000241867
