"Protein.ID","H26_vs_DksgA","H26_vs_DksgA_KsgA","H26_vs_DksgA_ksgA_E84A"
"1847","HVO_0887 [D4GUV4] (korB) oxoglutarate--ferredoxin oxidoreductase beta subunit",0.007300139,-1.243254102,-1.207569187
"1848","HVO_0884 [D4GUV1] probable oxidoreductase (aldo-keto reductase family protein)<|>HVO_2115 [D4GUR2] probable oxidoreductase (aldo-keto reductase family protein)",0.602130888,0.759579027,0.461965095
"1849","HVO_0884 [D4GUV1] probable oxidoreductase (aldo-keto reductase family protein)",-0.117774637,2.052024739,2.113704476
"1850","HVO_0882 [D4GUU9] DUF373 family protein",0.649860721,0.07122885,0.352838291
"1851","HVO_0881 [D4GUU8] (sppA1) signal peptide peptidase SppA",0.435904747,-1.724733674,-2.214356461
"1852","HVO_0880 [D4GUU7] conserved hypothetical protein",-0.278819317,1.10565198,1.027324658
"1853","HVO_0879 [D4GUU6] DUF371 family protein",-0.529634603,0.273972696,0.014553364
"1854","HVO_0878 [D4GUM5] (nthB) endonuclease 3",-0.286810659,0.739250194,0.390866067
"1855","HVO_0876 [D4GUM3] (mgsA) methylglyoxal synthase",-0.387088808,0.486676975,0.416821525
"1856","HVO_0874 [D4GUM1] zinc-dependent nuclease",0.641996093,-1.14888624,-0.978277582
"1857","HVO_0873 [D4GUM0] PgpA domain protein",0.232049406,0.703256408,0.615512769
"1858","HVO_0870 [D4GUL7] (proS) proline--tRNA ligase",0.141531089,-0.092485102,-0.086880433
"1859","HVO_0869 [D4GUL6] (gltB) glutamate synthase (ferredoxin) large subunit",0.984242713,-1.066704511,-0.589761065
"1860","HVO_0868 [D4GUL5] GalE family epimerase/dehydratase",0.244888626,-0.195394603,-0.221240794
"1861","HVO_0867 [D4GUL4] HD family hydrolase",0.309262102,0.837000572,0.989875446
"1862","HVO_0866 [D4GUL3] homolog to alanine-tRNA ligase",0.170101441,-0.002223247,0.13328134
"1863","HVO_0865 [D4GUL2] FkbM family methyltransferase",0.705127286,-0.867412277,-0.398252086
"1864","HVO_0863 [D4GUL0] SirR/DtxR family transcription regulator",-0.452839267,0.465323032,0.256749225
"1865","HVO_0862 [D4GUK9] ferritin domain protein",-0.749002125,0.551471492,0.220197156
"1866","HVO_0861 [D4GUK8] (sufB2) SufB domain protein",-0.16283162,-0.526708903,-0.397128456
"1867","HVO_0860 [D4GUK7] (sufB1) SufB domain protein",0.05737074,-0.254553155,-0.238617698
"1868","HVO_0859 [D4GUK6] (sufC) Fe-S cluster assembly ATPase SufC",-0.355869317,1.296282034,1.212713815
"1869","HVO_0858 [D4GUK5] (polB1) DNA-directed DNA polymerase B (intein-containing)",-0.182678536,-0.690263836,-0.941362642
"1870","HVO_0855 [D4GUK2] HTH domain protein",-0.041196544,0.846429253,0.11986864
"1871","HVO_0854 [D4GUK1] (rad50) DNA double-strand break repair ATPase Rad50<|>HVO_1278 [D4GXA4] conserved hypothetical protein",0,0,0
"1872","HVO_0854 [D4GUK1] (rad50) DNA double-strand break repair ATPase Rad50",-0.278679849,1.765648711,1.875094258
"1873","HVO_0853 [D4GUK0] (mre11) DNA double-strand break repair protein Mre11",-0.40689534,2.076158527,2.383489104
"1874","HVO_0852 [D4GUJ8] NP_1176A family transcription regulator",-0.864507234,-1.155496041,-1.66741241
"1875","HVO_0850 [D4GUJ7] (panA) proteasome-activating nucleotidase<|>HVO_1957 [Q5UT56] (panB) proteasome-activating nucleotidase<|>HVO_2380 [D4GWM8] (cdc48a) AAA-type ATPase (CDC48 subfamily)",0.361436205,-1.192060686,-1.480963704
"1876","HVO_0850 [D4GUJ7] (panA) proteasome-activating nucleotidase<|>HVO_1957 [Q5UT56] (panB) proteasome-activating nucleotidase",-0.174232164,0.835586898,0.325178361
"1877","HVO_0850 [D4GUJ7] (panA) proteasome-activating nucleotidase",-0.127011481,0.268234933,0.262164444
"1878","HVO_0848 [D4GUJ5] (nthA) endonuclease 3",-0.386002254,0.239791041,0.08127318
"1879","HVO_0845 [D4GUI8] conserved hypothetical protein",-0.186047445,-0.076440859,0.049872874
"1880","HVO_0844 [D4GUI7] (hcpB) halocyanin",-0.032096822,2.294979661,2.708639047
"1881","HVO_0843 [D4GUI5] conserved hypothetical protein",0.456349201,-0.231826695,-0.230264789
"1882","HVO_0842 [D4GUI3] (petB) cytochrome bc1 complex cytochrome b subunit",0.777022627,-0.699896479,-0.620452131
"1883","HVO_0841 [D4GUI1] (petD) cytochrome bc1 complex cytochrome b/c subunit",0.367350555,-0.579744355,-0.435723152
"1884","HVO_0838 [D4GUH7] conserved hypothetical protein",0.535766527,-0.253686697,-0.178721218
"1885","HVO_0837 [D4GUH6] (nadK2) probable NAD kinase (polyphosphate/ATP)",0.07996254,-0.901363396,-0.776559406
"1886","HVO_0836 [D4GUH5] (ywaD1) probable M28 family peptidase (homolog to aminopeptidase YwaD)",-0.026936804,-0.795718186,-0.536679627
"1887","HVO_0835 [D4GUH4] (acaB1) acetyl-CoA C-acetyltransferase",-0.13035494,-2.315024114,-2.545064094
"1888","HVO_0834 [D4GUH3] DUF35 family protein",-0.37671165,-1.058465626,-1.557449949
"1889","HVO_0832 [D4GUG9] alpha/beta hydrolase fold protein",0.382061085,-0.371564394,0.244608484
"1890","HVO_0831 [D4GUG7] (ygfD) YgfD family GTPase",-0.375174931,-0.981938059,-1.545933056
"1891","HVO_0830 [D4GUG5] (mmcB) methylmalonyl-CoA mutase subunit B (cobalamin-binding subunit)",-0.363033227,-0.277928688,-0.79563923
"1892","HVO_0829 [D4GUG3] peptidase S9 family protein",0.417177077,-0.88557738,-0.726617432
"1893","HVO_0828 [D4GUG1] conserved hypothetical protein",0.57264648,-0.707218884,-1.095088733
"1894","HVO_0827 [D4GUF9] MTH865 family protein",-1.115652246,0.467267789,0.486278783
"1895","HVO_0826 [D4GUF7] peptidase M42 family protein",-0.128333414,-1.000156514,-1.167658353
"1896","HVO_0825 [D4GUF5] (hcpA) halocyanin",-0.74650311,0.528118493,0.596607131
"1897","HVO_0824 [D4GUF3] probable glycosyltransferase, type 1",0.44205024,-1.485861949,-1.902369739
"1898","HVO_0822 [D4GUF0] (gldA) glycerol-1-phosphate dehydrogenase (NAD(P))",0.03283442,0.05270405,0.006743634
"1899","HVO_0821 [D4GUE8] LysE family transport protein",0.613220761,0.698081197,0.640180011
"1900","HVO_0819 [D4GUE2] (sirR) SirR/DtxR family transcription regulator SirR",-0.876551454,1.830738455,2.071787803
"1901","HVO_0818 [D4GUE0] (thrC2) threonine synthase",-0.615774739,-0.148180275,0.1330063
"1902","HVO_0817 [D4GUD8] amine oxidase domain protein",-0.032103858,-1.143275793,-0.979276463
"1903","HVO_0815 [D4GUD4] arNOG05395 family transcription regulator",-0.183478782,0.279049197,0.034071662
"1904","HVO_0812 [D4GUD0] (ppsA) phosphoenolpyruvate synthase",-0.202983379,-0.20224012,-0.194634069
"1905","HVO_0811 [D4GUC7] (panD) aspartate 1-decarboxylase",0.465316163,0.039832291,-0.4395471
"1906","HVO_0810 [D4GUC4] conserved hypothetical protein",0,0,0
"1907","HVO_0809 [D4GUC3] (metS) methionine--tRNA ligase",0.123093502,-0.32451074,-0.165662637
"1908","HVO_0808 [D4GUC1] conserved hypothetical protein",-0.048366596,-0.429096825,-0.574519578
"1909","HVO_0807 [D4GUB8] conserved hypothetical protein",-0.431625658,-1.361126695,-1.693697209
"1910","HVO_0806 [D4GUB6] (pykA) pyruvate kinase",0.431349207,-0.634110704,-0.367767942
"1911","HVO_0805 [D4GUB4] conserved hypothetical protein",-0.42281747,-0.008426371,-0.129877811
"1912","HVO_0803 [D4GUB0] homolog to restriction system mrr",0,0,0
"1913","HVO_0802 [D4GUA7] NfeD domain protein",-0.564208206,0.372128845,0.215243057
"1914","HVO_0801 [D4GUA4] stomatin family protein",0.555568353,0.078379585,0.202706079
"1915","HVO_0799 [D4GUA1] conserved hypothetical protein",0,0,0
"1916","HVO_0798 [D4GUA0] (aglD) dolichyl-phosphate mannosyltransferase AglD",1.10391205,-0.689662418,-0.344051993
"1917","HVO_0797 [D4GU99] probable inosine/xanthosine triphosphatase",-0.028284068,0.727114797,0.626799583
"1918","HVO_0796 [D4GU96] ABC-type transport system periplasmic substrate-binding protein (probable substrate iron/cobalamin)",-0.592023241,-0.586540182,-0.607339898
"1919","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB<|>HVO_1676 [Q9YGA5] (tfb2) transcription initiation factor TFB",0.354485027,0.429825593,0.87045775
"1920","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB<|>HVO_1052 [D4GVM8] (tfb1) transcription initiation factor TFB<|>HVO_B0285 [D4GPT2] (tfb3) transcription initiation factor TFB",0.489438827,-0.104018586,0.09334243
"1921","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB<|>HVO_1052 [D4GVM8] (tfb1) transcription initiation factor TFB<|>HVO_1676 [Q9YGA5] (tfb2) transcription initiation factor TFB<|>HVO_B0285 [D4GPT2] (tfb3) transcription initiation factor TFB",0.624931329,0.37800085,0.478277258
"1922","HVO_0795 [D4GU95] (tfb6) transcription initiation factor TFB",0.21477129,-0.177925337,-0.254540601
"1923","HVO_0794 [D4GU94] (zim) CTAG modification methylase",0.090694757,-1.094825001,-1.094386996
"1924","HVO_0793 [D4GU93] small CPxCG-related zinc finger protein",0.5319826,-0.215726769,-1.385986567
"1925","HVO_0792 [D4GU24] (aroB) 3-dehydroquinate synthase, type II",-0.213145409,0.189407499,0.215503923
"1926","HVO_0790 [D4GU21] (fba2) 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase",-0.092626822,0.680261645,0.755683567
"1927","HVO_0789 [P18284] (trpA) tryptophan synthase alpha subunit",1.763004423,2.51727176,2.165859289
"1928","HVO_0788 [P18285] (trpB) tryptophan synthase beta subunit",0.280606984,2.081842512,2.268902615
"1929","HVO_0787 [P18304] (trpC) indole-3-glycerol-phosphate synthase",-0.319057759,1.995351001,2.057435901
"1930","HVO_0786 [D4GU11] (ogt1) probable methylated-DNA--protein-cysteine methyltransferase",-0.197585036,0.779281311,0.411965936
"1931","HVO_0783 [D4GTT9] (lon) ATP-dependent protease Lon",-0.261976603,-1.104858902,-1.083585533
"1932","HVO_0782 [D4GTT7] (nadM) nicotinamide-nucleotide adenylyltransferase",-0.3976057,0.449792529,0.230712167
"1933","HVO_0781 [D4GTT6] S-adenosylmethionine hydroxide adenosyltransferase family protein",-0.233484892,-0.77801556,-0.641853156
"1934","HVO_0778 [Q9HHA2] (ths3) thermosome subunit 3",-0.180703182,1.19766299,1.387189617
"1935","HVO_0775 [D4GTT0] amidohydrolase domain protein",0.0788855,0.079924943,0.012262758
"1936","HVO_0774 [D4GTS9] probable glycosyltransferase, type 2",0.798064141,-1.454004358,-1.599403288
"1937","HVO_0773 [D4GTS8] probable S-adenosylmethionine-dependent methyltransferase",0.4038034,-0.850856872,-0.448121302
"1938","HVO_0772 [D4GTS7] NP_1176A family transcription regulator",0.045419799,1.961235339,2.911168503
"1939","HVO_0771 [D4GTS5] beta-lactamase domain protein",-0.259263054,-0.852250113,-0.551485824
"1940","HVO_0770 [D4GTS1] conserved hypothetical protein",-0.411210458,1.234753321,1.174067396
"1941","HVO_0769 [D4GTR9] TRAM domain protein",-0.310602083,1.265528956,1.081531523
"1942","HVO_0768 [D4GTR8] radical SAM domain protein",-0.174782248,-1.451311864,-1.383101642
"1943","HVO_0767 [D4GTR5] small CPxCG-related zinc finger protein",-2.414741668,1.670360461,1.271650505
"1944","HVO_0766 [D4GTR3] (hsp20D) Hsp20-type molecular chaperone",-0.010634538,0.995485412,0.775582015
"1945","HVO_0765 [D4GTR2] FAD-dependent oxidoreductase",0,0,0
"1946","HVO_0764 [D4GTR0] conserved hypothetical protein",0.360989042,-1.234213836,-0.855579504
"1947","HVO_0763 [D4GTQ8] DoxX domain protein<|>HVO_A0548 [D4GRL0] DoxX domain protein",0.108041508,0.070657894,0.062890744
"1948","HVO_0763 [D4GTQ8] DoxX domain protein",0.132035586,-1.390479641,-2.272896059
"1949","HVO_0762 [D4GTQ7] NUDIX family hydrolase",0.269619609,0.08530642,0.032030228
"1950","HVO_0761 [D4GTQ5] conserved hypothetical protein",-0.767138677,0.814460643,0.718546371
"1951","HVO_0760 [D4GTQ4] probable glycosyltransferase, type 2",0.082258227,-0.18610418,-0.134397531
"1952","HVO_0758 [D4GTQ1] small CPxCG-related zinc finger protein",-0.356498076,1.487086034,1.201214709
"1953","HVO_0757 [D4GTP9] probable oxidoreductase (aldo-keto reductase family protein)",-0.063400104,-0.661012499,-0.547274533
"1954","HVO_0756 [D4GTP7] DHH/RecJ family phosphoesterase",0.431481422,-0.635118158,-1.972307543
"1955","HVO_0755 [D4GTP6] homolog to NAD-dependent epimerase/dehydratase",0.11883659,-0.438930528,-0.635115781
"1956","HVO_0754 [D4GTP5] conserved hypothetical protein",-0.642584938,1.46982933,1.244016314
"1957","HVO_0745 [D4GTC1] (cetZ2) FtsZ family protein CetZ, type III",-0.580341806,0.418809626,0.342744317
"1958","HVO_0743 [D4GTB7] probable phosphodiesterase",0.109705594,-0.028376835,0.085742655
"1959","HVO_0742 [D4GTB6] conserved hypothetical protein",0.031051754,0.929875314,1.151176568
"1960","HVO_0741 [D4GTB4] (polX) DNA-directed DNA polymerase X",0.26325601,-0.987381444,-0.799604664
"1961","HVO_0740 [D4GTB3] DUF82 family protein",0.428007585,1.129320574,0.73900619
"1962","HVO_0739 [D4GTB2] conserved hypothetical protein",0.586531382,-0.854129385,-1.623959074
"1963","HVO_0738 [D4GTB1] conserved hypothetical protein",-0.718142649,0.487128029,0.146415076
"1964","HVO_0736 [D4GTA8] DUF302 family protein",-0.674345308,1.746830807,1.885451271
"1965","HVO_0734 [D4GTA5] (nreA) DNA repair protein NreA",0.633332456,-0.11925116,0.062772834
"1966","HVO_0733 [D4GTA4] (tfb4) transcription initiation factor TFB<|>HVO_1478 [D4GYB5] (tfb5) transcription initiation factor TFB",0.344681482,-0.386720209,-0.407846554
"1967","HVO_0733 [D4GTA4] (tfb4) transcription initiation factor TFB",0.083978775,-1.361492271,-0.91850033
"1968","HVO_0732 [D4GTA2] (rnhA2) ribonuclease H, type 1",-0.260298516,-0.436853351,-0.800285066
"1969","HVO_0731 [D4GTA0] conserved hypothetical protein",-0.967204839,0.845151472,0.406237433
"1970","HVO_0730 [D4GT98] (rosR) PadR family transcription regulator RosR",0.851383547,1.725228827,0.511171571
"1971","HVO_0729 [D4GT97] (ipp) inorganic pyrophosphatase",-0.794443776,0.929389874,0.831807513
"1972","HVO_0728 [D4GT95] conserved hypothetical protein",-1.167671551,1.978201921,5.732697015
"1973","HVO_0727 [D4GT94] rhomboid family protease",0.71763364,-0.208863003,0.016158225
"1974","HVO_0726 [D4GT92] (endV) endonuclease 5",0.200913083,-1.04807324,-0.716712967
"1975","HVO_0725 [D4GT91] probable oxidoreductase (short-chain dehydrogenase family)",0.475948052,-1.101265865,-0.801442361
"1976","HVO_0724 [D4GT90] (arsA1) ArsA family ATPase",-0.724862158,1.050556013,0.642714405
"1977","HVO_0723 [D4GT88] nicotinamide mononucleotide deamidase",-0.183778274,2.126404223,-0.679760516
"1978","HVO_0722 [D4GT87] DUF457 family protein",0.575206356,-0.308452067,-0.633472594
"1979","HVO_0721 [D4GT85] PHP domain protein",0.33974369,-1.279228631,-1.234396817
"1980","HVO_0720 [D4GT84] small CPxCG-related zinc finger protein",-0.170939011,0.162579728,0.164481778
"1981","HVO_0719 [D4GT82] (spt5) transcription elongation factor Spt5",-0.381731344,0.366529049,0.358647535
"1982","HVO_0718 [D4GT81] (secE) protein translocase subunit SecE",-0.066182462,-0.264825126,-0.162208053
"1983","HVO_0717 [Q48327] (ftsZ1) cell division protein FtsZ, type I",-0.337743556,0.251712079,0.113252036
"1984","HVO_0716 [D4GT74] (dtdA) D-aminoacyl-tRNA deacylase",0.218715872,-0.726529347,-0.657101546
"1985","HVO_0712 [D4GT66] (aroE) shikimate dehydrogenase (nonfunctional)",0.248058431,-0.762302802,-0.764900445
"1986","HVO_0711 [D4GT64] conserved hypothetical protein",-0.071159762,0.526975848,0.601777182
"1987","HVO_0710 [D4GT63] (pabB) aminodeoxychorismate synthase component 1",-0.199917148,-0.740483645,-0.501661436
"1988","HVO_0709 [D4GT61] (pabA) aminodeoxychorismate synthase component 2",-0.512535731,0.124109413,0.006715849
"1989","HVO_0708 [D4GT60] (pabC) aminodeoxychorismate lyase",-0.384793268,-0.284401284,-0.258794158
"1990","HVO_0707 [D4GT58] probable iron-sulfur protein (2Fe-2S)",-0.49968919,0.446284216,0.297597204
"1991","HVO_0704 [D4GT55] probable glycosyltransferase, type 2",0.140939396,-1.339198723,-0.938300487
"1992","HVO_0703 [D4GT52] conserved hypothetical protein",-0.373897128,0.865960772,0.480251826
"1993","HVO_0702 [D4GT53] DUF2298 family protein",0.667167589,-0.812558558,-0.855336274
"1994","HVO_0701 [D4GT50] (rpl42e) 50S ribosomal protein L42e",-0.141345544,-0.541475567,-1.077926981
"1995","HVO_0700 [D4GT48] (rps27e) 30S ribosomal protein S27e",-0.090080302,0.654489698,0.56766261
"1996","HVO_0699 [D4GT46] (tif2a) translation initiation factor aIF-2 alpha subunit",-0.046043973,1.672882982,1.598172841
"1997","HVO_0697 [D4GT44] PAC2 family protein",-0.152178893,0.374128784,0.278596978
"1998","HVO_0696 [D4GT42] (phzF1) PhzF family protein",0.003285373,-0.958464865,-0.773367559
"1999","HVO_0694 [D4GT40] (gptA2) probable phosphoribosyltransferase",-0.583491951,0.262445764,-0.118504402
"2000","HVO_0692 [D4GT36] probable 6-oxopurine nucleoside phosphorylase",-0.588731654,0.192227272,0.31347028
"2001","HVO_0691 [D4GT34] conserved hypothetical protein",0.289512632,-0.588732161,-0.809856974
"2002","HVO_0690 [D4GT32] (scpA) chromosome segregation and condensation protein ScpA",-0.640275352,-0.483009993,-0.258584511
"2003","HVO_0689 [D4GT30] (smc) chromosome segregation protein Smc",-0.356700444,0.112493104,-0.104596304
"2004","HVO_0688 [D4GT28] conserved hypothetical protein",-0.603999518,0.294887858,-0.492778344
"2005","HVO_0687 [D4GT26] M20 family amidohydrolase",-0.036168652,-0.291039837,0.177921292
"2006","HVO_0684 [D4GT23] (gatB) aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B",-0.01672726,-0.226860666,-0.273340027
"2007","HVO_0682 [D4GT18] (mrr) probable Mrr family endonuclease",-0.383497755,-1.437277723,-2.217577232
"2008","HVO_0681 [D4GT20] (topA) DNA topoisomerase 1",0.238942732,-0.055728587,-0.170295676
"2009","HVO_0680 [D4GT16] (pcrB1) (S)-3-O-geranylgeranylglyceryl phosphate synthase 1",-0.194473615,0.613244926,0.715170241
"2010","HVO_0677 [D4GT09] (aspS) aspartate--tRNA(Asp/Asn) ligase",-0.215207397,-0.515071484,-0.621422035
"2011","HVO_0676 [D4GT08] DUF2078 family protein",0.328401598,1.521074501,1.072580871
"2012","HVO_0675 [D4GT07] pantoate kinase",0.10279709,0.071325934,0.092535577
"2013","HVO_0674 [D4GT06] 4-phosphopantoate--beta-alanine ligase",-0.479043948,0.711812032,0.508398616
"2014","HVO_0672 [D4GT02] conserved hypothetical protein",-0.317209109,-0.542359212,-0.281984946
"2015","HVO_0670 [D4GT00] YqjG-type gamma-glutamylcysteinyl-hydroquinone reductase",0.238757921,-0.780819615,-0.863123684
"2016","HVO_0669 [D4GSZ9] (oadhA3) 2-oxoacid dehydrogenase E1 component alpha subunit",-0.948581453,-2.059556808,-1.945584395
"2017","HVO_0668 [D4GSZ8] (oadhB3) 2-oxoacid dehydrogenase E1 component beta subunit",-0.642270074,-1.55426737,-1.792766655
"2018","HVO_0665 [D4GSS5] (thi4) adenosine diphosphate thiazole synthase, cysteine-dependent",-0.601887009,-0.621560544,-1.072230586
"2019","HVO_0662 [D4GSS2] (thiR) transcription regulator ThiR",-0.637234955,0.275349361,0.29127995
"2020","HVO_0661 [D4GSS1] (dcd) dCTP deaminase",-0.057200118,-0.891265375,-0.564198585
"2021","HVO_0659 [D4GSR9] (pth) peptidyl-tRNA hydrolase",-0.276310133,0.94512991,0.898488461
"2022","HVO_0658 [D4GSR8] (truD) tRNA pseudouridine(13) synthase TruD",0.1233502,-0.889795888,-0.744932993
"2023","HVO_0656 [D4GSR6] DUF2103 family protein",-0.077980883,-2.187377057,-1.84160715
"2024","HVO_0655 [D4GSR5] GalE family epimerase/dehydratase",-0.744084611,0.353974336,0.3315244
"2025","HVO_0654 [D4GSR4] (rpl43e) 50S ribosomal protein L43e",0.082200774,-0.742767935,-0.912220366
"2026","HVO_0653 [D4GSR3] (rpoP) DNA-directed RNA polymerase subunit P",-1.221955543,1.240730223,1.035986055
"2027","HVO_0652 [D4GSR2] (pcc1) KEOPS complex subunit Pcc1",0.122387977,0.514222672,0.89232299
"2028","HVO_0651 [D4GSR1] (pfdB) prefoldin beta subunit",-0.835025323,1.094701136,1.175935422
"2029","HVO_0650 [D4GSR0] DUF3194 family protein",-0.713013737,1.20996355,1.415578963
"2030","HVO_0648 [D4GSQ8] DUF2070 family protein",0.50660407,-0.57109547,-1.10137432
"2031","HVO_0647 [D4GSQ7] (guaAa1) GMP synthase (glutamine-hydrolyzing) subunit A",-1.039258426,0.390987479,0.285808571
"2032","HVO_0646 [D4GSQ6] conserved hypothetical protein",0.080370424,0.187138642,0.193580267
"2033","HVO_0644 [D4GSQ2] (leuA1) 2-isopropylmalate synthase / (R)-citramalate synthase",-0.330463876,-0.37316471,-0.092649945
"2034","HVO_0641 [D4GSP8] (bluB) 5,6-dimethylbenzimidazole synthase BluB",0.524494453,-0.305895902,-0.963765014
"2035","HVO_0639 [D4GSP6] (moxR1) AAA-type ATPase (MoxR subfamily)",-0.444249278,-0.627666383,-0.338426384
"2036","HVO_0637 [D4GSP3] DUF11/DUF58 family protein",0.497784814,-0.392849062,-0.312198331
"2037","HVO_0636 [D4GSP1] conserved hypothetical protein",-0.570072761,0.712197132,0.312391209
"2038","HVO_0635 [D4GSP0] DUF4129 domain protein",0.482928495,1.344345503,1.571838866
"2039","HVO_0634 [D4GSN9] (orc2) Orc1-type DNA replication protein",-0.039026014,-1.129425243,-1.173071479
"2040","HVO_0633 [D4GSN7] (cirC) KaiC-type circadian clock protein CirC",6.960691926,2.793655584,4.17319121
"2041","HVO_0632 [D4GSN6] sensor box histidine kinase",0.158324226,-1.038580798,-1.041664296
"2042","HVO_0630 [D4GSM7] (dppC2) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",2.625579765,2.832768323,2.198720894
"2043","HVO_0629 [D4GSM5] (dppB2) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)",0.693063268,3.690529036,1.273280936
"2044","HVO_0628 [D4GSM4] (dppA2) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",-0.104420929,-2.511532675,-2.563750079
"2045","HVO_0627 [D4GSM3] (dppDF2) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.464773603,-1.970453941,-2.100776162
"2046","HVO_0626 [D4GSM2] conserved hypothetical protein",0.288455532,0.609928278,0.979646157
"2047","HVO_0625 [D4GSM1] DMT superfamily transport protein",0,0,0
"2048","HVO_0620 [D4GSL6] (pilB1) type IV pilus biogenesis complex ATPase subunit",0,0,0
"2049","HVO_0612 [D4GSK8] UspA domain protein",-0.125237492,-0.812339974,-0.816316366
"2050","HVO_0609 [D4GSK5] beta-lactamase domain protein",-0.84699876,1.639553261,1.305587816
"2051","HVO_0605 [D4GSK1] IclR family transcription regulator",0.498400723,-0.688796492,-0.51396202
"2052","HVO_0602 [D4GSJ7] (aroD1) 3-dehydroquinate dehydratase",0.162273545,-0.517438558,-0.296545958
"2053","HVO_0601 [D4GSJ6] (hom2) homoserine dehydrogenase",-0.258845962,-0.22879733,-0.055508452
"2054","HVO_0600 [D4GSJ5] ACT domain protein",0.413562935,-0.654327214,-0.562738087
"2055","HVO_0598 [D4GSJ3] conserved hypothetical protein",-0.447773968,-0.223290174,-0.554398707
"2056","HVO_0597 [D4GSJ2] OsmC domain protein",-1.085547781,1.31639758,0.965605757
"2057","HVO_0596 [D4GSJ1] conserved hypothetical protein",-0.519662012,-0.554673156,-1.013017244
"2058","HVO_0595 [D4GSJ0] (minD2) MinD/ParA domain protein",-0.209825911,-0.895855504,-1.130861068
"2059","HVO_0593 [D4GSI8] (cobD2) L-threonine-O-3-phosphate decarboxylase",0,0,0
"2060","HVO_0592 [D4GSI7] (cbiZ) adenosylcobinamide amidohydrolase",0.418256357,0.315028999,0.55523037
"2061","HVO_0591 [D4GSI6] (cobD1) L-threonine-O-3-phosphate decarboxylase",-0.106308004,0.003899658,0.243953134
"2062","HVO_0590 [D4GSI5] (cobT) probable nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase",0.121039992,0.88298852,1.128649115
"2063","HVO_0589 [D4GSI4] (cobY) adenosylcobinamide-phosphate guanylyltransferase",0.035833916,0.702810899,0.617432443
"2064","HVO_0588 [D4GSI3] (cobS) adenosylcobinamide-GDP ribazoletransferase",1.238290433,-0.25611087,0.339662877
"2065","HVO_0586 [D4GSI1] HAD superfamily hydrolase",0.074342846,0.653804857,1.02215202
"2066","HVO_0585 [D4GSI0] probable oxidoreductase (aldo-keto reductase family protein)",-0.303495163,-1.451351616,-1.525786052
"2067","HVO_0583 [D4GSH9] CopG/DZR domain protein",-0.278639723,-0.286756137,-0.329037273
"2068","HVO_0582 [D4GSH8] CopG domain protein",-0.43278913,-1.39400986,-2.155952423
"2069","HVO_0581 [D4GSH7] (ftsZ2) cell division protein FtsZ, type II",0.665493839,-0.645199191,-0.935075328
"2070","HVO_0580 [D4GSH6] (ncsA) putative tRNA 2-thiolation protein NcsA",-0.254509639,1.139588555,1.07682049
"2071","HVO_0579 [D4GSH5] conserved hypothetical protein",-0.301657365,0.713166047,0.596692003
"2072","HVO_0577 [D4GSH3] DUF2082 family protein",0,0,0
"2073","HVO_0576 [D4GSH2] HxlR family transcription regulator",-0.459563933,1.214423516,0.921593715
"2074","HVO_0575 [D4GSH1] homolog to NAD-dependent epimerase/dehydratase",-0.445349177,0.648747014,0.337376791
"2075","HVO_0574 [D4GSG9] probable S-adenosylmethionine-dependent methyltransferase",-0.096846404,-0.600767988,-0.199983289
"2076","HVO_0573 [D4GSG8] (apn1) endonuclease 4",-0.484632958,-0.025486339,0.021850093
"2077","HVO_0572 [D4GSG7] (lpl) lipoate--protein ligase domain protein",-0.308133201,-0.170550443,-0.28530335
"2078","HVO_0571 [D4GSG6] conserved hypothetical protein",0.011230907,0.641715007,0.226344109
"2079","HVO_0570 [D4GSG5] histidine kinase",0.929814944,0.748728143,0.815647419
"2080","HVO_0569 [D4GSG4] (rio2) RIO-type serine/threonine protein kinase Rio2",-2.656574784,-3.172127979,-1.48150825
"2081","HVO_0568 [D4GSG3] TrmB family transcription regulator",-0.583073923,-0.617514545,-0.553870969
"2082","HVO_0567 [D4GSG2] (amyA1) glycoside hydrolase domain protein",0.048108008,-0.969190714,-0.977284807
"2083","HVO_0566 [D4GSG1] glycoside transferase domain protein",0.009149131,-0.73171911,-0.522846513
"2084","HVO_0565 [D4GSG0] (malK) ABC-type transport system ATP-binding protein (probable substrate maltose)",-0.44161595,-1.413371273,-1.488834124
"2085","HVO_0564 [D4GSF9] (malE) ABC-type transport system periplasmic substrate-binding protein (probable substrate maltose)",-0.342762511,-1.756681145,-2.816759447
"2086","HVO_0562 [D4GSF7] (malG) ABC-type transport system permease protein (probable substrate maltose)",0.27861107,2.601988182,4.635677187
"2087","HVO_0561 [D4GSF6] (rpl15e) 50S ribosomal protein L15e",0.890730164,-1.080650004,-0.872859782
